Event,Subject,Gender,Author Gender,Story Genre
embark,he,M,Female,Fiction
consider,he,M,Female,Fiction
engage,him,M,Female,Fiction
engage,him,M,Female,Fiction
love,he,M,Female,Fiction
see,he,M,Female,Fiction
bathe,she,F,Female,Fiction
entreat,him,M,Female,Fiction
spare,her,F,Female,Fiction
love,she,F,Female,Fiction
buy,he,M,Female,Fiction
design,he,M,Female,Fiction
bestow,he,M,Female,Fiction
find,he,M,Female,Fiction
hear,he,M,Female,Fiction
attend,him,M,Female,Fiction
command,he,M,Female,Fiction
leave,her,F,Female,Fiction
float,she,F,Female,Fiction
lose,he,M,Female,Fiction
allow,he,M,Female,Fiction
exchange,he,M,Female,Fiction
appear,he,M,Female,Fiction
carry,him,M,Female,Fiction
quit,he,M,Female,Fiction
faint,he,M,Female,Fiction
bring,him,M,Female,Fiction
restore,him,M,Female,Fiction
rub,him,M,Female,Fiction
force,him,M,Female,Fiction
show,he,M,Female,Fiction
wrap,him,M,Female,Fiction
place,him,M,Female,Fiction
recover,he,M,Female,Fiction
restore,him,M,Female,Fiction
deprive,him,M,Female,Fiction
remove,him,M,Female,Fiction
gnash,he,M,Female,Fiction
oppress,him,M,Female,Fiction
ask,him,M,Female,Fiction
torment,him,M,Female,Fiction
come,he,M,Female,Fiction
reply,he,M,Female,Fiction
see,him,M,Female,Fiction
ask,he,M,Female,Fiction
call,he,M,Female,Fiction
call,him,M,Female,Fiction
say,he,M,Female,Fiction
inquire,he,M,Female,Fiction
manifest,he,M,Female,Fiction
persuade,him,M,Female,Fiction
give,him,M,Female,Fiction
love,him,M,Female,Fiction
excite,he,M,Female,Fiction
speak,he,M,Female,Fiction
interest,he,M,Female,Fiction
converse,he,M,Female,Fiction
enter,he,M,Female,Fiction
evince,he,M,Female,Fiction
try,he,M,Female,Fiction
place,he,M,Female,Fiction
speak,he,M,Female,Fiction
appear,he,M,Female,Fiction
lead,he,M,Female,Fiction
ask,he,M,Female,Fiction
say,he,M,Female,Fiction
suffer,he,M,Female,Fiction
retire,he,M,Female,Fiction
see,him,M,Female,Fiction
possess,he,M,Female,Fiction
elevate,him,M,Female,Fiction
renew,he,M,Female,Fiction
reply,he,M,Female,Fiction
perceive,he,M,Female,Fiction
interrupt,him,M,Female,Fiction
tell,he,M,Female,Fiction
commence,he,M,Female,Fiction
relate,he,M,Female,Fiction
know,him,M,Female,Fiction
respect,he,M,Female,Fiction
know,him,M,Female,Fiction
pass,he,M,Female,Fiction
become,he,M,Female,Fiction
distinguish,he,M,Female,Fiction
retreat,he,M,Female,Fiction
live,he,M,Female,Fiction
deplore,he,M,Female,Fiction
lose,he,M,Female,Fiction
seek,him,M,Female,Fiction
persuade,him,M,Female,Fiction
hasten,he,M,Female,Fiction
enter,he,M,Female,Fiction
welcome,him,M,Female,Fiction
provide,him,M,Female,Fiction
hope,he,M,Female,Fiction
lie,he,M,Female,Fiction
attend,him,M,Female,Fiction
see,she,F,Female,Fiction
support,her,F,Female,Fiction
procure,she,F,Female,Fiction
plait,she,F,Female,Fiction
attend,him,M,Female,Fiction
leave,her,F,Female,Fiction
overcome,her,F,Female,Fiction
knelt,she,F,Female,Fiction
come,he,M,Female,Fiction
conduct,he,M,Female,Fiction
conduct,her,F,Female,Fiction
place,her,F,Female,Fiction
approve,he,M,Female,Fiction
suffer,he,M,Female,Fiction
recompense,her,F,Female,Fiction
endure,she,F,Female,Fiction
strove,he,M,Female,Fiction
shelter,her,F,Female,Fiction
surround,her,F,Female,Fiction
go,she,F,Female,Fiction
suffer,she,F,Female,Fiction
find,she,F,Female,Fiction
appear,she,F,Female,Fiction
behold,her,F,Female,Fiction
become,he,M,Female,Fiction
die,he,M,Female,Fiction
continue,she,F,Female,Fiction
find,he,M,Female,Fiction
keep,her,F,Female,Fiction
regard,her,F,Female,Fiction
bring,her,F,Female,Fiction
present,she,F,Female,Fiction
stand,she,F,Female,Fiction
busy,she,F,Female,Fiction
love,he,M,Female,Fiction
read,he,M,Female,Fiction
compose,he,M,Female,Fiction
try,he,M,Female,Fiction
attempt,he,M,Female,Fiction
relate,he,M,Female,Fiction
acquaint,he,M,Female,Fiction
feel,he,M,Female,Fiction
unveil,he,M,Female,Fiction
dissect,he,M,Female,Fiction
enter,he,M,Female,Fiction
form,he,M,Female,Fiction
say,he,M,Female,Fiction
yield,she,F,Female,Fiction
hear,she,F,Female,Fiction
control,she,F,Female,Fiction
attend,she,F,Female,Fiction
desert,her,F,Female,Fiction
join,she,F,Female,Fiction
say,she,F,Female,Fiction
die,she,F,Female,Fiction
appear,she,F,Female,Fiction
veil,she,F,Female,Fiction
look,she,F,Female,Fiction
devote,she,F,Female,Fiction
teach,she,F,Female,Fiction
recall,she,F,Female,Fiction
forget,she,F,Female,Fiction
endeavour,he,M,Female,Fiction
permit,him,M,Female,Fiction
say,he,M,Female,Fiction
speak,he,M,Female,Fiction
ask,he,M,Female,Fiction
say,he,M,Female,Fiction
step,he,M,Female,Fiction
desire,he,M,Female,Fiction
intend,he,M,Female,Fiction
omit,he,M,Female,Fiction
say,he,M,Female,Fiction
appear,he,M,Female,Fiction
begin,he,M,Female,Fiction
take,he,M,Female,Fiction
conclude,he,M,Female,Fiction
promise,he,M,Female,Fiction
work,she,F,Female,Fiction
go,he,M,Female,Fiction
give,him,M,Female,Fiction
hear,he,M,Female,Fiction
say,he,M,Female,Fiction
attend,he,M,Female,Fiction
take,he,M,Female,Fiction
give,he,M,Female,Fiction
smooth,he,M,Female,Fiction
ascribe,he,M,Female,Fiction
embrace,her,F,Female,Fiction
hold,he,M,Female,Fiction
mutter,he,M,Female,Fiction
speak,he,M,Female,Fiction
know,he,M,Female,Fiction
exclaim,he,M,Female,Fiction
say,he,M,Female,Fiction
leave,him,M,Female,Fiction
permit,he,M,Female,Fiction
stop,he,M,Female,Fiction
see,him,M,Female,Fiction
entreat,him,M,Female,Fiction
observe,he,M,Female,Fiction
see,he,M,Female,Fiction
account,he,M,Female,Fiction
astonish,him,M,Female,Fiction
cry,he,M,Female,Fiction
tell,he,M,Female,Fiction
anticipate,he,M,Female,Fiction
spare,he,M,Female,Fiction
know,he,M,Female,Fiction
feel,he,M,Female,Fiction
doubt,he,M,Female,Fiction
perform,he,M,Female,Fiction
could,he,M,Female,Fiction
concern,him,M,Female,Fiction
believe,he,M,Female,Fiction
persuade,him,M,Female,Fiction
allude,he,M,Female,Fiction
ask,he,M,Female,Fiction
look,he,M,Female,Fiction
become,he,M,Female,Fiction
permit,him,M,Female,Fiction
select,he,M,Female,Fiction
endure,her,F,Female,Fiction
treat,her,F,Female,Fiction
live,her,F,Female,Fiction
induce,she,F,Female,Fiction
give,her,F,Female,Fiction
make,she,F,Female,Fiction
adore,she,F,Female,Fiction
pay,she,F,Female,Fiction
think,she,F,Female,Fiction
think,her,F,Female,Fiction
remind,she,F,Female,Fiction
attend,her,F,Female,Fiction
begin,she,F,Female,Fiction
conceive,she,F,Female,Fiction
weep,she,F,Female,Fiction
quit,she,F,Female,Fiction
alter,she,F,Female,Fiction
beg,she,F,Female,Fiction
accuse,her,F,Female,Fiction
die,she,F,Female,Fiction
love,her,F,Female,Fiction
see,him,M,Female,Fiction
smile,he,M,Female,Fiction
have,he,M,Female,Fiction
recover,he,M,Female,Fiction
change,he,M,Female,Fiction
perceive,he,M,Female,Fiction
praise,he,M,Female,Fiction
perceive,he,M,Female,Fiction
attribute,he,M,Female,Fiction
mean,he,M,Female,Fiction
torment,he,M,Female,Fiction
place,he,M,Female,Fiction
attempt,he,M,Female,Fiction
love,him,M,Female,Fiction
cry,he,M,Female,Fiction
pull,he,M,Female,Fiction
observe,he,M,Female,Fiction
come,he,M,Female,Fiction
open,he,M,Female,Fiction
mark,he,M,Female,Fiction
turn,he,M,Female,Fiction
attempt,him,M,Female,Fiction
become,he,M,Female,Fiction
teach,he,M,Female,Fiction
exert,he,M,Female,Fiction
express,he,M,Female,Fiction
invent,he,M,Female,Fiction
repeat,he,M,Female,Fiction
support,he,M,Female,Fiction
murder,he,M,Female,Fiction
say,he,M,Female,Fiction
play,he,M,Female,Fiction
seek,he,M,Female,Fiction
return,he,M,Female,Fiction
return,he,M,Female,Fiction
convey,he,M,Female,Fiction
prevent,her,F,Female,Fiction
persist,she,F,Female,Fiction
faint,she,F,Female,Fiction
live,she,F,Female,Fiction
tell,she,F,Female,Fiction
tease,her,F,Female,Fiction
wear,him,M,Female,Fiction
possess,she,F,Female,Fiction
discover,him,M,Female,Fiction
weep,she,F,Female,Fiction
live,she,F,Female,Fiction
perceive,he,M,Female,Fiction
motion,him,M,Female,Fiction
read,he,M,Female,Fiction
express,he,M,Female,Fiction
sleep,he,M,Female,Fiction
know,he,M,Female,Fiction
discover,him,M,Female,Fiction
reach,he,M,Female,Fiction
receive,he,M,Female,Fiction
murder,he,M,Female,Fiction
do,he,M,Female,Fiction
remain,he,M,Female,Fiction
hear,he,M,Female,Fiction
say,he,M,Female,Fiction
say,she,F,Female,Fiction
accuse,she,F,Female,Fiction
pursue,him,M,Female,Fiction
see,him,M,Female,Fiction
accuse,she,F,Female,Fiction
try,she,F,Female,Fiction
relate,he,M,Female,Fiction
wear,she,F,Female,Fiction
endeavour,he,M,Female,Fiction
know,he,M,Female,Fiction
suffer,she,F,Female,Fiction
acquit,she,F,Female,Fiction
convict,her,F,Female,Fiction
convince,him,M,Female,Fiction
alter,her,F,Female,Fiction
beheld,her,F,Female,Fiction
endow,her,F,Female,Fiction
welcome,she,F,Female,Fiction
fill,she,F,Female,Fiction
convict,she,F,Female,Fiction
condemn,she,F,Female,Fiction
will,she,F,Female,Fiction
will,she,F,Female,Fiction
weep,she,F,Female,Fiction
exculpate,her,F,Female,Fiction
appear,she,F,Female,Fiction
suppose,she,F,Female,Fiction
work,she,F,Female,Fiction
enter,she,F,Female,Fiction
throw,she,F,Female,Fiction
see,she,F,Female,Fiction
recover,she,F,Female,Fiction
ask,her,F,Female,Fiction
look,she,F,Female,Fiction
return,she,F,Female,Fiction
pass,she,F,Female,Fiction
reply,she,F,Female,Fiction
look,she,F,Female,Fiction
concern,him,M,Female,Fiction
fall,she,F,Female,Fiction
place,she,F,Female,Fiction
struggle,she,F,Female,Fiction
desire,she,F,Female,Fiction
collect,she,F,Female,Fiction
say,she,F,Female,Fiction
relate,she,F,Female,Fiction
pass,she,F,Female,Fiction
meet,she,F,Female,Fiction
ask,her,F,Female,Fiction
see,she,F,Female,Fiction
alarm,she,F,Female,Fiction
force,she,F,Female,Fiction
spend,she,F,Female,Fiction
believe,she,F,Female,Fiction
sleep,she,F,Female,Fiction
disturb,her,F,Female,Fiction
awake,she,F,Female,Fiction
quit,she,F,Female,Fiction
endeavour,she,F,Female,Fiction
go,she,F,Female,Fiction
bewilder,she,F,Female,Fiction
pass,she,F,Female,Fiction
give,she,F,Female,Fiction
afford,him,M,Female,Fiction
steal,he,M,Female,Fiction
know,her,F,Female,Fiction
desire,she,F,Female,Fiction
say,she,F,Female,Fiction
appear,she,F,Female,Fiction
nurse,she,F,Female,Fiction
know,her,F,Female,Fiction
live,she,F,Female,Fiction
attach,she,F,Female,Fiction
desire,she,F,Female,Fiction
value,her,F,Female,Fiction
charge,her,F,Female,Fiction
weep,she,F,Female,Fiction
answer,she,F,Female,Fiction
sustain,she,F,Female,Fiction
observe,he,M,Female,Fiction
confess,she,F,Female,Fiction
say,she,F,Female,Fiction
put,she,F,Female,Fiction
commit,she,F,Female,Fiction
go,her,F,Female,Fiction
leave,he,M,Female,Fiction
rise,she,F,Female,Fiction
throw,she,F,Female,Fiction
say,she,F,Female,Fiction
threaten,he,M,Female,Fiction
say,he,M,Female,Fiction
threaten,he,M,Female,Fiction
pause,she,F,Female,Fiction
say,she,F,Female,Fiction
see,she,F,Female,Fiction
approach,she,F,Female,Fiction
hear,he,M,Female,Fiction
credit,he,M,Female,Fiction
thank,him,M,Female,Fiction
gain,she,F,Female,Fiction
desire,she,F,Female,Fiction
cry,she,F,Female,Fiction
repress,she,F,Female,Fiction
embrace,she,F,Female,Fiction
perish,she,F,Female,Fiction
rest,she,F,Female,Fiction
say,he,M,Female,Fiction
commit,he,M,Female,Fiction
precipitate,him,M,Female,Fiction
see,him,M,Female,Fiction
take,she,F,Female,Fiction
think,she,F,Female,Fiction
pay,she,F,Female,Fiction
visit,her,F,Female,Fiction
say,she,F,Female,Fiction
commit,she,F,Female,Fiction
suffer,she,F,Female,Fiction
nurse,she,F,Female,Fiction
walk,he,M,Female,Fiction
speak,she,F,Female,Fiction
bound,he,M,Female,Fiction
approach,he,M,Female,Fiction
approach,he,M,Female,Fiction
overwhelm,him,M,Female,Fiction
elude,he,M,Female,Fiction
say,he,M,Female,Fiction
say,he,M,Female,Fiction
lead,he,M,Female,Fiction
answer,him,M,Female,Fiction
use,he,M,Female,Fiction
suppose,him,M,Female,Fiction
begin,he,M,Female,Fiction
prepare,he,M,Female,Fiction
turn,he,M,Female,Fiction
dress,she,F,Female,Fiction
look,she,F,Female,Fiction
return,she,F,Female,Fiction
walk,she,F,Female,Fiction
take,he,M,Female,Fiction
follow,she,F,Female,Fiction
take,she,F,Female,Fiction
sit,she,F,Female,Fiction
play,he,M,Female,Fiction
sob,she,F,Female,Fiction
pronounce,he,M,Female,Fiction
raise,he,M,Female,Fiction
raise,her,F,Female,Fiction
meet,him,M,Female,Fiction
relieve,him,M,Female,Fiction
go,she,F,Female,Fiction
show,he,M,Female,Fiction
show,her,F,Female,Fiction
seem,she,F,Female,Fiction
place,she,F,Female,Fiction
continue,she,F,Female,Fiction
employ,he,M,Female,Fiction
join,him,M,Female,Fiction
assume,he,M,Female,Fiction
use,he,M,Female,Fiction
finish,he,M,Female,Fiction
read,he,M,Female,Fiction
reward,he,M,Female,Fiction
open,she,F,Female,Fiction
utter,she,F,Female,Fiction
join,her,F,Female,Fiction
go,he,M,Female,Fiction
call,he,M,Female,Fiction
talk,he,M,Female,Fiction
endeavour,she,F,Female,Fiction
appear,he,M,Female,Fiction
address,he,M,Female,Fiction
rise,she,F,Female,Fiction
clear,he,M,Female,Fiction
find,he,M,Female,Fiction
work,he,M,Female,Fiction
go,he,M,Female,Fiction
work,he,M,Female,Fiction
read,he,M,Female,Fiction
utter,he,M,Female,Fiction
read,he,M,Female,Fiction
talk,he,M,Female,Fiction
find,he,M,Female,Fiction
understand,he,M,Female,Fiction
sigh,he,M,Female,Fiction
inquire,he,M,Female,Fiction
see,she,F,Female,Fiction
throw,him,M,Female,Fiction
see,he,M,Female,Fiction
see,her,F,Female,Fiction
appear,she,F,Female,Fiction
hold,she,F,Female,Fiction
call,her,F,Female,Fiction
appear,she,F,Female,Fiction
understand,him,M,Female,Fiction
assist,he,M,Female,Fiction
assist,her,F,Female,Fiction
conduct,her,F,Female,Fiction
raise,he,M,Female,Fiction
raise,her,F,Female,Fiction
embrace,her,F,Female,Fiction
understand,she,F,Female,Fiction
come,she,F,Female,Fiction
endeavour,she,F,Female,Fiction
sit,he,M,Female,Fiction
sing,she,F,Female,Fiction
finish,she,F,Female,Fiction
give,she,F,Female,Fiction
play,she,F,Female,Fiction
appear,he,M,Female,Fiction
bestow,she,F,Female,Fiction
improve,she,F,Female,Fiction
choose,he,M,Female,Fiction
say,he,M,Female,Fiction
appear,he,M,Female,Fiction
consider,he,M,Female,Fiction
descend,he,M,Female,Fiction
live,he,M,Female,Fiction
become,he,M,Female,Fiction
seize,he,M,Female,Fiction
join,him,M,Female,Fiction
try,he,M,Female,Fiction
hear,he,M,Female,Fiction
make,he,M,Female,Fiction
deliver,him,M,Female,Fiction
find,he,M,Female,Fiction
see,he,M,Female,Fiction
secure,him,M,Female,Fiction
convey,he,M,Female,Fiction
look,he,M,Female,Fiction
receive,he,M,Female,Fiction
thank,she,F,Female,Fiction
thank,him,M,Female,Fiction
deplore,she,F,Female,Fiction
win,she,F,Female,Fiction
marry,her,F,Female,Fiction
reduce,she,F,Female,Fiction
instruct,she,F,Female,Fiction
teach,her,F,Female,Fiction
quit,he,M,Female,Fiction
communicate,he,M,Female,Fiction
unite,she,F,Female,Fiction
enjoy,he,M,Female,Fiction
form,he,M,Female,Fiction
loathe,he,M,Female,Fiction
fear,he,M,Female,Fiction
appear,he,M,Female,Fiction
know,he,M,Female,Fiction
choose,he,M,Female,Fiction
betray,him,M,Female,Fiction
revolve,he,M,Female,Fiction
enable,he,M,Female,Fiction
depart,he,M,Female,Fiction
rouse,him,M,Female,Fiction
enjoy,he,M,Female,Fiction
love,he,M,Female,Fiction
arrange,he,M,Female,Fiction
hasten,he,M,Female,Fiction
succeed,he,M,Female,Fiction
endure,he,M,Female,Fiction
aid,him,M,Female,Fiction
say,he,M,Female,Fiction
render,him,M,Female,Fiction
endure,he,M,Female,Fiction
glory,he,M,Female,Fiction
attempt,she,F,Female,Fiction
leave,he,M,Female,Fiction
leave,her,F,Female,Fiction
tell,her,F,Female,Fiction
deliver,he,M,Female,Fiction
hire,he,M,Female,Fiction
convey,him,M,Female,Fiction
sail,he,M,Female,Fiction
intend,he,M,Female,Fiction
become,her,F,Female,Fiction
hear,she,F,Female,Fiction
reside,he,M,Female,Fiction
hesitate,she,F,Female,Fiction
form,she,F,Female,Fiction
quit,she,F,Female,Fiction
arrive,she,F,Female,Fiction
nurse,her,F,Female,Fiction
fall,she,F,Female,Fiction
elevate,he,M,Female,Fiction
come,he,M,Female,Fiction
allow,he,M,Female,Fiction
encourage,him,M,Female,Fiction
abandon,he,M,Female,Fiction
curse,him,M,Female,Fiction
take,he,M,Female,Fiction
play,him,M,Female,Fiction
continue,he,M,Female,Fiction
sit,he,M,Female,Fiction
answer,him,M,Female,Fiction
dash,he,M,Female,Fiction
tear,him,M,Female,Fiction
see,him,M,Female,Fiction
interest,father,M,Female,Fiction
win,him,M,Female,Fiction
quit,he,M,Female,Fiction
say,he,M,Female,Fiction
enter,he,M,Female,Fiction
run,she,F,Female,Fiction
continue,she,F,Female,Fiction
fall,she,F,Female,Fiction
save,her,F,Female,Fiction
drag,her,F,Female,Fiction
flee,she,F,Female,Fiction
dart,he,M,Female,Fiction
aim,he,M,Female,Fiction
carry,he,M,Female,Fiction
seize,him,M,Female,Fiction
educate,him,M,Female,Fiction
pass,he,M,Female,Fiction
draw,him,M,Female,Fiction
behold,he,M,Female,Fiction
place,he,M,Female,Fiction
struggle,he,M,Female,Fiction
cry,he,M,Female,Fiction
silence,him,M,Female,Fiction
lie,he,M,Female,Fiction
destroy,him,M,Female,Fiction
change,she,F,Female,Fiction
act,she,F,Female,Fiction
behold,she,F,Female,Fiction
suffer,she,F,Female,Fiction
give,she,F,Female,Fiction
shall,she,F,Female,Fiction
move,she,F,Female,Fiction
continue,he,M,Female,Fiction
narrate,he,M,Female,Fiction
say,he,M,Female,Fiction
pity,he,M,Female,Fiction
condemn,he,M,Female,Fiction
live,him,M,Female,Fiction
animate,him,M,Female,Fiction
say,he,M,Female,Fiction
calm,he,M,Female,Fiction
express,he,M,Female,Fiction
owe,him,M,Female,Fiction
see,he,M,Female,Fiction
compassionate,him,M,Female,Fiction
console,him,M,Female,Fiction
relate,he,M,Female,Fiction
employ,he,M,Female,Fiction
display,he,M,Female,Fiction
cry,he,M,Female,Fiction
quit,he,M,Female,Fiction
descend,him,M,Female,Fiction
depart,he,M,Female,Fiction
turn,he,M,Female,Fiction
regard,her,F,Female,Fiction
become,she,F,Female,Fiction
destroy,him,M,Female,Fiction
hope,he,M,Female,Fiction
take,he,M,Female,Fiction
force,he,M,Female,Fiction
promise,he,M,Female,Fiction
accompany,he,M,Female,Fiction
fill,she,F,Female,Fiction
long,she,F,Female,Fiction
bid,she,F,Female,Fiction
come,he,M,Female,Fiction
see,he,M,Female,Fiction
behold,he,M,Female,Fiction
point,he,M,Female,Fiction
cry,he,M,Female,Fiction
feel,he,M,Female,Fiction
transport,he,M,Female,Fiction
say,he,M,Female,Fiction
love,he,M,Female,Fiction
cataracthaunte,him,M,Female,Fiction
exist,he,M,Female,Fiction
observe,he,M,Female,Fiction
pursue,he,M,Female,Fiction
have,he,M,Female,Fiction
take,he,M,Female,Fiction
debar,him,M,Female,Fiction
accompany,him,M,Female,Fiction
mention,he,M,Female,Fiction
reside,he,M,Female,Fiction
find,he,M,Female,Fiction
imagine,he,M,Female,Fiction
associate,he,M,Female,Fiction
say,he,M,Female,Fiction
find,he,M,Female,Fiction
begin,he,M,Female,Fiction
find,he,M,Female,Fiction
rest,he,M,Female,Fiction
forsake,he,M,Female,Fiction
remain,he,M,Female,Fiction
follow,him,M,Female,Fiction
protect,him,M,Female,Fiction
compensate,him,M,Female,Fiction
fill,him,M,Female,Fiction
entreat,he,M,Female,Fiction
say,he,M,Female,Fiction
receive,he,M,Female,Fiction
come,he,M,Female,Fiction
become,she,F,Female,Fiction
swear,he,M,Female,Fiction
refuse,she,F,Female,Fiction
conceive,he,M,Female,Fiction
turn,she,F,Female,Fiction
quit,she,F,Female,Fiction
quit,him,M,Female,Fiction
gaze,he,M,Female,Fiction
allot,he,M,Female,Fiction
follow,he,M,Female,Fiction
loiter,he,M,Female,Fiction
come,he,M,Female,Fiction
depend,he,M,Female,Fiction
approach,he,M,Female,Fiction
find,he,M,Female,Fiction
seize,him,M,Female,Fiction
elude,he,M,Female,Fiction
see,him,M,Female,Fiction
precipitate,him,M,Female,Fiction
follow,him,M,Female,Fiction
suffer,him,M,Female,Fiction
direct,he,M,Female,Fiction
find,she,F,Female,Fiction
join,him,M,Female,Fiction
say,he,M,Female,Fiction
wear,he,M,Female,Fiction
form,he,M,Female,Fiction
delay,he,M,Female,Fiction
conjecture,he,M,Female,Fiction
entreat,he,M,Female,Fiction
beseech,he,M,Female,Fiction
meet,him,M,Female,Fiction
look,he,M,Female,Fiction
ask,he,M,Female,Fiction
depose,he,M,Female,Fiction
walk,he,M,Female,Fiction
follow,him,M,Female,Fiction
proceed,he,M,Female,Fiction
strike,he,M,Female,Fiction
assist,him,M,Female,Fiction
fall,he,M,Female,Fiction
strangle,he,M,Female,Fiction
swear,he,M,Female,Fiction
see,he,M,Female,Fiction
judge,he,M,Female,Fiction
live,she,F,Female,Fiction
hear,she,F,Female,Fiction
see,she,F,Female,Fiction
address,she,F,Female,Fiction
say,sir,M,Female,Fiction
say,she,F,Female,Fiction
cause,he,M,Female,Fiction
come,he,M,Female,Fiction
desire,he,M,Female,Fiction
wish,he,M,Female,Fiction
come,he,M,Female,Fiction
draw,he,M,Female,Fiction
seem,he,M,Female,Fiction
take,him,M,Female,Fiction
see,him,M,Female,Fiction
enter,him,M,Female,Fiction
help,he,M,Female,Fiction
hasten,he,M,Female,Fiction
think,he,M,Female,Fiction
resume,he,M,Female,Fiction
rise,he,M,Female,Fiction
feel,he,M,Female,Fiction
look,he,M,Female,Fiction
talk,he,M,Female,Fiction
dare,he,M,Female,Fiction
live,he,M,Female,Fiction
know,he,M,Female,Fiction
wish,he,M,Female,Fiction
think,he,M,Female,Fiction
endeavour,he,M,Female,Fiction
suffer,she,F,Female,Fiction
die,she,F,Female,Fiction
murder,her,F,Female,Fiction
seem,he,M,Female,Fiction
appear,he,M,Female,Fiction
change,he,M,Female,Fiction
wish,he,M,Female,Fiction
determine,he,M,Female,Fiction
vanquish,he,M,Female,Fiction
turn,he,M,Female,Fiction
find,he,M,Female,Fiction
vow,he,M,Female,Fiction
consider,he,M,Female,Fiction
bind,him,M,Female,Fiction
satiate,he,M,Female,Fiction
murder,he,M,Female,Fiction
behold,she,F,Female,Fiction
weep,she,F,Female,Fiction
remonstrate,she,F,Female,Fiction
regard,him,M,Female,Fiction
pronounce,he,M,Female,Fiction
look,she,F,Female,Fiction
pervade,her,F,Female,Fiction
think,she,F,Female,Fiction
coast,her,F,Female,Fiction
ask,she,F,Female,Fiction
entreat,her,F,Female,Fiction
join,her,F,Female,Fiction
leave,she,F,Female,Fiction
move,she,F,Female,Fiction
lie,she,F,Female,Fiction
suppose,her,F,Female,Fiction
embrace,her,F,Female,Fiction
seem,he,M,Female,Fiction
point,he,M,Female,Fiction
elude,he,M,Female,Fiction
disappear,he,M,Female,Fiction
dote,he,M,Female,Fiction
doom,him,M,Female,Fiction
live,he,M,Female,Fiction
die,he,M,Female,Fiction
secure,him,M,Female,Fiction
tell,him,M,Female,Fiction
require,him,M,Female,Fiction
assure,sir,M,Female,Fiction
address,him,M,Female,Fiction
become,he,M,Female,Fiction
shudder,him,M,Female,Fiction
hear,he,M,Female,Fiction
call,he,M,Female,Fiction
answer,he,M,Female,Fiction
wander,he,M,Female,Fiction
inhabit,he,M,Female,Fiction
hover,he,M,Female,Fiction
take,he,M,Female,Fiction
hunt,he,M,Female,Fiction
say,he,M,Female,Fiction
suffer,he,M,Female,Fiction
endeavour,he,M,Female,Fiction
destroy,him,M,Female,Fiction
perish,he,M,Female,Fiction
feel,him,M,Female,Fiction
flee,he,M,Female,Fiction
pursue,him,M,Female,Fiction
escape,he,M,Female,Fiction
evade,he,M,Female,Fiction
inform,he,M,Female,Fiction
leave,he,M,Female,Fiction
perish,he,M,Female,Fiction
leave,he,M,Female,Fiction
intercept,him,M,Female,Fiction
reach,he,M,Female,Fiction
carry,he,M,Female,Fiction
seize,he,M,Female,Fiction
harness,he,M,Female,Fiction
destroy,he,M,Female,Fiction
escape,he,M,Female,Fiction
live,he,M,Female,Fiction
escape,he,M,Female,Fiction
seek,him,M,Female,Fiction
appear,he,M,Female,Fiction
conduct,him,M,Female,Fiction
liveswear,he,M,Female,Fiction
triumph,he,M,Female,Fiction
trust,him,M,Female,Fiction
call,him,M,Female,Fiction
continue,he,M,Female,Fiction
command,he,M,Female,Fiction
shriek,he,M,Female,Fiction
show,he,M,Female,Fiction
say,he,M,Female,Fiction
ask,he,M,Female,Fiction
hold,he,M,Female,Fiction
say,he,M,Female,Fiction
soothe,him,M,Female,Fiction
know,he,M,Female,Fiction
compose,he,M,Female,Fiction
enjoy,he,M,Female,Fiction
believe,he,M,Female,Fiction
hold,he,M,Female,Fiction
visit,him,M,Female,Fiction
display,he,M,Female,Fiction
hear,him,M,Female,Fiction
relate,he,M,Female,Fiction
seem,he,M,Female,Fiction
say,he,M,Female,Fiction
gain,him,M,Female,Fiction
lose,him,M,Female,Fiction
reconcile,him,M,Female,Fiction
repulse,he,M,Female,Fiction
say,he,M,Female,Fiction
attach,he,M,Female,Fiction
endeavour,he,M,Female,Fiction
value,he,M,Female,Fiction
remind,he,M,Female,Fiction
fill,he,M,Female,Fiction
speak,he,M,Female,Fiction
rouse,he,M,Female,Fiction
exhaust,he,M,Female,Fiction
sink,he,M,Female,Fiction
tell,he,M,Female,Fiction
choose,he,M,Female,Fiction
say,he,M,Female,Fiction
speak,he,M,Female,Fiction
sink,he,M,Female,Fiction
confine,he,M,Female,Fiction
endeavour,he,M,Female,Fiction
fall,he,M,Female,Fiction
restore,he,M,Female,Fiction
open,he,M,Female,Fiction
breathe,he,M,Female,Fiction
give,him,M,Female,Fiction
leave,him,M,Female,Fiction
tell,he,M,Female,Fiction
watch,him,M,Female,Fiction
sleep,he,M,Female,Fiction
call,he,M,Female,Fiction
show,he,M,Female,Fiction
destroy,he,M,Female,Fiction
devote,he,M,Female,Fiction
render,he,M,Female,Fiction
ought,he,M,Female,Fiction
live,he,M,Female,Fiction
speak,he,M,Female,Fiction
sink,he,M,Female,Fiction
attempt,he,M,Female,Fiction
press,he,M,Female,Fiction
hang,he,M,Female,Fiction
hear,he,M,Female,Fiction
cease,he,M,Female,Fiction
pause,he,M,Female,Fiction
seem,he,M,Female,Fiction
exclaim,he,M,Female,Fiction
answer,he,M,Female,Fiction
address,him,M,Female,Fiction
continue,he,M,Female,Fiction
suffer,he,M,Female,Fiction
dare,he,M,Female,Fiction
accumulate,he,M,Female,Fiction
seek,he,M,Female,Fiction
die,she,F,Female,Fiction
